序号,时间,粗钢:产量:韩国(千吨),粗钢:产量:英国(千吨),粗钢:产量:美国(千吨)
1,1967,300,24324,115406
2,1968,372,26399,119260
3,1969,373,26896,128151
4,1970,481,27833,119307
5,1971,472,24219,109264
6,1972,586,25431,120874
7,1973,1157,26594,136802
8,1974,1947,22323,132195
9,1975,1994,20098,105816
10,1976,3511,22274,116120
11,1977,4346,20411,113700
12,1978,4969,20311,124313
13,1979,7610,21464,123688
14,1980,8558,11277,101456
15,1981,10753,15573,109614
16,1982,11758,13704,67656
17,1983,11915,14986,76762
18,1984,13034,15121,83940
19,1985,13539,15722,80067
20,1986,14555,14725,74031
21,1987,16782,17414,80876
22,1988,19118,18950,90650
23,1989,21873,18740,88852
24,1990,23125,17841,89726
25,1991,26001,16474,79738
26,1992,28055,16212,84322
27,1993,33026,16625,88793
28,1994,33745,17286,91244
29,1995,36772,17604,95191
30,1996,38903,17992,95535
31,1997,42554,18501,98485
32,1998,39896,17315,98658
33,1999,41042,16298,97427
34,2000,43107,15155,101803
35,2001,43852,13543,90104
36,2002,45390,11667,91587
37,2003,46310,13268,93677
38,2004,47521,13766,99681
39,2005,47820,13239,94897
40,2006,48455,13871,98557
41,2007,51517,14317,98102
42,2008,53625,13521,91350
43,2009,48572,10079,58196
44,2010,58363,9709,80495
45,2011,68471,9481,86247
46,2012,69321,9756,88598
47,2013,66061,11858,86878
48,2014,71543,12120,88174
49,2015,69670,10907,78845
50,2016,68567.48,7635.04,78475.02
51,2017,71081,7508,81640
52,2018,72464.04,7267.66,86607.39
数据来源：前瞻数据库 https://d.qianzhan.com
